SYMBOL,SECTOR
BOWL,Consumer Cyclical
BOX,Technology
BP,Energy
BPMC,Healthcare
BR,Technology
BRBR,Consumer Defensive
BRCC,Consumer Defensive
BRFS,Consumer Defensive
BRKL,Financial Services
BRKR,Healthcare
BRO,Financial Services
BROS,Consumer Cyclical
BRSP,Real Estate
BRTX,Healthcare
BRX,Real Estate
BRY,Energy
BRZE,Technology
BSBR,Financial Services
BSM,Energy
BSX,Healthcare
BSY,Technology
BTAI,Healthcare
BTBT,Financial Services
BTDR,Technology
BTE,Energy
BTG,Basic Materials
BTI,Consumer Defensive
BTOG,Financial Services
BTU,Energy
BUD,Consumer Defensive
BUR,Financial Services
BURL,Consumer Cyclical
BVN,Basic Materials
BW,Industrials
BWA,Consumer Cyclical
BWXT,Industrials
BX,Financial Services
BXMT,Real Estate
BXP,Real Estate
BXSL,Financial Services
BYD,Consumer Cyclical
BYND,Consumer Defensive
BYON,Consumer Cyclical
BZ,Industrials
BZUN,Consumer Cyclical
C,Financial Services
CABA,Healthcare
CADE,Financial Services
CAE,Industrials
CAG,Consumer Defensive
CAH,Healthcare
CAKE,Consumer Cyclical
CALX,Technology
CAN,Technology
CAR,Industrials
CARG,Consumer Cyclical
CARR,Industrials
CART,Consumer Cyclical
CAT,Industrials
CAVA,Consumer Cyclical
CB,Financial Services
CBAY,Healthcare
CBRE,Real Estate
CBRL,Consumer Cyclical
CC,Basic Materials
CCCC,Healthcare
CCCS,Technology
CCEP,Consumer Defensive
CCI,Real Estate
CCJ,Energy
CCK,Consumer Cyclical
CCL,Consumer Cyclical
CCO,Communication Services
CCRN,Healthcare
CDE,Basic Materials
CDIO,Healthcare
CDLX,Communication Services
CDMO,Healthcare
CDNA,Healthcare
CDNS,Technology
CDP,Real Estate
CDW,Technology
CDXS,Healthcare
CE,Basic Materials
CEG,Utilities
CEIX,Energy
CELH,Consumer Defensive
CENX,Basic Materials
CERE,Healthcare
CERO,Healthcare
CERS,Healthcare
CERT,Healthcare
CF,Basic Materials
CFFN,Financial Services
CFG,Financial Services
CFLT,Technology
CG,Financial Services
CGC,Healthcare
CGEN,Healthcare
CGNT,Technology
CGNX,Technology
CHD,Consumer Defensive
CHGG,Consumer Defensive
CHH,Consumer Cyclical
CHK,Energy
CHKP,Technology
CHNR,Industrials
CHPT,Consumer Cyclical
CHRD,Energy
CHRS,Healthcare
CHRW,Industrials
CHTR,Communication Services
CHWY,Consumer Cyclical
CHX,Energy
CI,Healthcare
CIEN,Technology
CIFR,Financial Services
CIG,Utilities
CIM,Real Estate
CINF,Financial Services
CIVI,Energy
CKPT,Healthcare
CL,Consumer Defensive
CLB,Energy
CLBT,Technology
CLDX,Healthcare
CLF,Basic Materials
CLM,Financial Services
CLNE,Energy
CLRB,Healthcare
CLS,Technology
CLSK,Financial Services
CLVT,Technology
CLX,Consumer Defensive
CM,Financial Services
CMA,Financial Services
CMC,Basic Materials
CMCSA,Communication Services
CME,Financial Services
CMI,Industrials
CMND,Healthcare
CMP,Basic Materials
CMPS,Healthcare
CMS,Utilities
CNC,Healthcare
CNDT,Technology
CNEY,Basic Materials
CNHI,Industrials
CNI,Industrials
CNK,Communication Services
CNM,Industrials
CNMD,Healthcare
CNNE,Consumer Cyclical
CNO,Financial Services
CNP,Utilities
CNQ,Energy
CNSL,Communication Services
CNTA,Healthcare
CNVS,Communication Services
CNX,Energy
CNXC,Technology
COCH,Healthcare
COCO,Consumer Defensive
COF,Financial Services
COGT,Healthcare
COHR,Technology
COIN,Financial Services
COLB,Financial Services
COLD,Real Estate
COMM,Technology
COMP,Real Estate
COO,Healthcare
COP,Energy
COR,Healthcare
CORT,Healthcare
COST,Consumer Defensive
COTY,Consumer Defensive
COUR,Consumer Defensive
CP,Industrials
CPB,Consumer Defensive
CPE,Energy
CPG,Energy
CPNG,Consumer Cyclical
CPOP,Communication Services
CPRI,Consumer Cyclical
CPRT,Industrials
CPRX,Healthcare
CPT,Real Estate
CRBG,Financial Services
CRBP,Healthcare
CRBU,Healthcare
CRC,Energy
CRCT,Technology
CRDF,Healthcare
CRDO,Technology
CRF,Financial Services
CRGY,Energy
CRH,Basic Materials
CRI,Consumer Cyclical
CRK,Energy
CRL,Healthcare
CRM,Technology
CRNC,Technology
CRNT,Technology
CRNX,Healthcare
CRON,Healthcare
CROX,Consumer Cyclical
CRSP,Healthcare
CRWD,Technology
CSCO,Technology
CSGP,Real Estate
CSIQ,Technology
CSTM,Basic Materials
CSX,Industrials
CTKB,Healthcare
CTLT,Healthcare
CTMX,Healthcare
CTRA,Energy
CTRE,Real Estate
CTSH,Technology
CTVA,Basic Materials
CUBE,Real Estate
CUK,Consumer Cyclical
CUTR,Healthcare
CUZ,Real Estate
CVAC,Healthcare
CVBF,Financial Services
CVE,Energy
CVI,Energy
CVNA,Consumer Cyclical
CVS,Healthcare
CVX,Energy
CWAN,Technology
CWEN,Utilities
CWH,Consumer Cyclical
CWK,Real Estate
CX,Basic Materials
CXAI,Technology
CXM,Technology
CXW,Industrials
CYBR,Technology
CYH,Healthcare
CYTK,Healthcare
CZR,Consumer Cyclical
D,Utilities
DADA,Consumer Cyclical
DAKT,Technology
DAL,Industrials
DAN,Consumer Cyclical
DAR,Consumer Defensive
DASH,Communication Services
DATS,Technology
DAVA,Technology
DAWN,Healthcare
DAY,Technology
DB,Financial Services
DBGI,Consumer Cyclical
DBI,Consumer Cyclical
DBRG,Real Estate
DBX,Technology
DCGO,Healthcare
DCPH,Healthcare
DD,Basic Materials
DDD,Technology
DDOG,Technology
DE,Industrials
DEA,Real Estate
DEI,Real Estate
DELL,Technology
DEO,Consumer Defensive
DFS,Financial Services
DG,Consumer Defensive
DGX,Healthcare
DH,Healthcare
DHC,Real Estate
DHI,Consumer Cyclical
DHR,Healthcare
DHT,Energy
DHY,Financial Services
DINO,Energy
DIS,Communication Services
DK,Energy
DKNG,Consumer Cyclical
DKS,Consumer Cyclical
DLO,Technology
DLR,Real Estate
DLTR,Consumer Defensive
DNA,Healthcare
DNB,Financial Services
DNLI,Healthcare
DNMR,Basic Materials
DNN,Energy
DNOW,Industrials
DNP,Financial Services
DNUT,Consumer Defensive
DO,Energy
DOC,Real Estate
DOCN,Technology
DOCS,Healthcare
DOCU,Technology
DOOR,Industrials
DOUG,Real Estate
DOV,Industrials
DOW,Basic Materials
DOX,Technology
DPZ,Consumer Cyclical
DQ,Technology
DRH,Real Estate
DRI,Consumer Cyclical
DRS,Industrials
DRVN,Consumer Cyclical
DSKE,Industrials
DSX,Industrials
DT,Technology
DTC,Consumer Cyclical
DTE,Utilities
DTM,Energy
DTSS,Technology
DUK,Utilities
DUOL,Technology
DV,Technology
DVA,Healthcare
DVAX,Healthcare
DVN,Energy
DWAC,Financial Services
DX,Real Estate
DXC,Technology
DXCM,Healthcare
DYN,Healthcare
EA,Communication Services
EAF,Industrials
EAT,Consumer Cyclical
EB,Technology
EBAY,Consumer Cyclical
EBC,Financial Services
EBR,Utilities
EBS,Healthcare
EC,Energy
ECC,Financial Services
ECL,Basic Materials
ECVT,Basic Materials
ED,Utilities
EDIT,Healthcare
EDR,Communication Services
EDU,Consumer Defensive
EFC,Real Estate
EFX,Industrials
EGHT,Technology
EGO,Basic Materials
EGY,Energy
EH,Industrials
EHAB,Healthcare
EHC,Healthcare
EIX,Utilities
EL,Consumer Defensive
ELAN,Healthcare
ELEV,Healthcare
ELF,Consumer Defensive
ELME,Real Estate
ELS,Real Estate
ELV,Healthcare
EMN,Basic Materials
EMR,Industrials
ENB,Energy
ENIC,Utilities
ENLC,Energy
ENPH,Technology
ENTG,Technology
ENVB,Healthcare
ENVX,Industrials
EOG,Energy
EOLS,Healthcare
EPAM,Technology
EPD,Energy
EPR,Real Estate
EPRT,Real Estate
EQC,Real Estate
EQH,Financial Services
EQNR,Energy
EQR,Real Estate
EQT,Energy
EQX,Basic Materials
ERAS,Healthcare
ERF,Energy
ERIC,Technology
ERII,Industrials
ERJ,Industrials
ES,Utilities
ESI,Basic Materials
ESNT,Financial Services
ESPR,Healthcare
ESRT,Real Estate
ESTC,Technology
ET,Energy
ETN,Industrials
ETNB,Healthcare
ETR,Utilities
ETRN,Energy
ETSY,Consumer Cyclical
ETWO,Technology
EU,Energy
EURN,Energy
EVAX,Healthcare
EVBG,Technology
EVC,Communication Services
EVGO,Consumer Cyclical
EVH,Healthcare
EVLV,Industrials
EVRG,Utilities
EVRI,Consumer Cyclical
EW,Healthcare
EWBC,Financial Services
EWTX,Healthcare
EXAI,Healthcare
EXAS,Healthcare
EXC,Utilities
EXEL,Healthcare
EXFY,Technology
EXG,Financial Services
EXK,Basic Materials
EXLS,Technology
EXPD,Industrials
EXPE,Consumer Cyclical
EXPI,Real Estate
EXR,Real Estate
EXTR,Technology
EYE,Consumer Cyclical
EYEN,Healthcare
EYPT,Healthcare
EZFL,Technology
EZPW,Financial Services
F,Consumer Cyclical
FAF,Financial Services
FAMI,Consumer Defensive
FANG,Energy
FAST,Industrials
FATE,Healthcare
FAX,Financial Services
FBIN,Industrials
FBP,Financial Services
FCEL,Industrials
FCF,Financial Services
FCX,Basic Materials
FDMT,Healthcare
FDX,Industrials
FE,Utilities
FEMY,Healthcare
FERG,Industrials
FFIN,Financial Services
FFWM,Financial Services
FGEN,Healthcare
FHB,Financial Services
FHI,Financial Services
FHN,Financial Services
FI,Technology
FIBK,Financial Services
FIGS,Consumer Cyclical
FINV,Financial Services
FIP,Industrials
FIS,Technology
FITB,Financial Services
FIVE,Consumer Cyclical
FIVN,Technology
FL,Consumer Cyclical
FLEX,Technology
FLNC,Utilities
FLO,Consumer Defensive
FLR,Industrials
FLS,Industrials
FLYW,Technology
FMC,Basic Materials
FMX,Consumer Defensive
FNB,Financial Services
FND,Consumer Cyclical
FNF,Financial Services
FNV,Basic Materials
FOLD,Healthcare
FOUR,Technology
FOX,Communication Services
FOXA,Communication Services
FR,Real Estate
FREE,Consumer Defensive
FREY,Industrials
FRGT,Technology
FRO,Energy
FROG,Technology
FRPT,Consumer Defensive
FRSH,Technology
FRT,Real Estate
FSCO,Financial Services
FSK,Financial Services
FSLR,Technology
FSLY,Technology
FSM,Basic Materials
FSP,Real Estate
FTAI,Industrials
FTDR,Consumer Cyclical
FTI,Energy
FTNT,Technology
FTRE,Healthcare
FTS,Utilities
FTV,Technology
FUBO,Communication Services
FULC,Healthcare
FULT,Financial Services
FUSN,Healthcare
FUTU,Financial Services
FVRR,Communication Services
FWONK,Communication Services
FWRD,Industrials
FYBR,Communication Services
G,Technology
GAB,Financial Services
GBCI,Financial Services
GBDC,Financial Services
GCI,Communication Services
GCT,Technology
GD,Industrials
GDDY,Technology
GDOT,Financial Services
GDRX,Healthcare
GDS,Technology
GE,Industrials
GEHC,Healthcare
GEN,Technology
GENI,Communication Services
GEO,Industrials
GERN,Healthcare
GES,Consumer Cyclical
GFAI,Industrials
GFI,Basic Materials
GFL,Industrials
GFS,Technology
GGAL,Financial Services
GGB,Basic Materials
GGG,Industrials
GH,Healthcare
GIII,Consumer Cyclical
GIL,Consumer Cyclical
GILD,Healthcare
GIS,Consumer Defensive
GKOS,Healthcare
GL,Financial Services
GLBE,Consumer Cyclical
GLNG,Energy
GLPI,Real Estate
GLT,Basic Materials
GLW,Technology
GM,Consumer Cyclical
GMAB,Healthcare
GME,Consumer Cyclical
GMED,Healthcare
GNK,Industrials
GNL,Real Estate
GNRC,Industrials
GNTX,Consumer Cyclical
GNW,Financial Services
GO,Consumer Defensive
GOEV,Consumer Cyclical
GOF,Financial Services
GOGL,Industrials
GOGO,Communication Services
GOLD,Basic Materials
GOOG,Communication Services
GOOGL,Communication Services
GOOS,Consumer Cyclical
GOTU,Consumer Defensive
GPC,Consumer Cyclical
GPCR,Healthcare
GPK,Consumer Cyclical
GPN,Industrials
GPRE,Basic Materials
GPRO,Technology
GPS,Consumer Cyclical
GRAB,Technology
GRFS,Healthcare
GRMN,Technology
GROY,Basic Materials
GRPN,Communication Services
GRTS,Healthcare
GRWG,Consumer Cyclical
GS,Financial Services
GSAT,Communication Services
GSK,Healthcare
GSL,Industrials
GSM,Basic Materials
GT,Consumer Cyclical
GTES,Industrials
GTHX,Healthcare
GTLB,Technology
GTLS,Industrials
GTN,Communication Services
GTX,Consumer Cyclical
GWRE,Technology
GXO,Industrials
H,Consumer Cyclical
HA,Industrials
HAIN,Consumer Defensive
HAL,Energy
HALO,Healthcare
HARP,Healthcare
HAS,Consumer Cyclical
HASI,Real Estate
HAYW,Industrials
HBAN,Financial Services
HBI,Consumer Cyclical
HBM,Basic Materials
HCA,Healthcare
HCAT,Healthcare
HCC,Basic Materials
HCP,Technology
HCSG,Healthcare
HD,Consumer Cyclical
HDB,Financial Services
HE,Utilities
HES,Energy
HESM,Energy
HGV,Consumer Cyclical
HIG,Financial Services
HIMS,Consumer Defensive
HIMX,Technology
HIVE,Financial Services
HIW,Real Estate
HKIT,Technology
HL,Basic Materials
HLF,Consumer Defensive
HLIT,Technology
HLMN,Industrials
HLN,Healthcare
HLT,Consumer Cyclical
HLX,Energy
HMC,Consumer Cyclical
HMY,Basic Materials
HNST,Consumer Defensive
HOG,Consumer Cyclical
HOLI,Industrials
HOLO,Technology
HOLX,Healthcare
HOMB,Financial Services
HON,Industrials
HOOD,Financial Services
HOPE,Financial Services
HOUS,Real Estate
HP,Energy
HPE,Technology
HPP,Real Estate
HPQ,Technology
HQY,Healthcare
HR,Real Estate
HRB,Consumer Cyclical
HRL,Consumer Defensive
HRT,Industrials
HRTX,Healthcare
HSAI,Consumer Cyclical
HSBC,Financial Services
HSIC,Healthcare
HST,Real Estate
HSY,Consumer Defensive
HTGC,Financial Services
HTHT,Consumer Cyclical
HTOO,Utilities
HTZ,Industrials
HUBC,Technology
HUBG,Industrials
HUM,Healthcare
HUMA,Healthcare
HUN,Basic Materials
HUT,Financial Services
HUYA,Communication Services
HWM,Industrials
HXL,Industrials
IAC,Communication Services
IAG,Basic Materials
IART,Healthcare
IAS,Communication Services
IAUX,Basic Materials
IBKR,Financial Services
IBM,Technology
IBN,Financial Services
IBRX,Healthcare
ICCM,Healthcare
ICE,Financial Services
ICL,Basic Materials
ICLR,Healthcare
IDEX,Industrials
IDYA,Healthcare
IEP,Energy
IFBD,Technology
IFF,Basic Materials
IGR,Financial Services
IGT,Consumer Cyclical
IHRT,Communication Services
IHS,Communication Services
IINN,Healthcare
ILMN,Healthcare
IMAX,Communication Services
IMCR,Healthcare
IMMR,Technology
IMNM,Healthcare
IMPP,Energy
IMRN,Healthcare
IMTX,Healthcare
IMUX,Healthcare
IMVT,Healthcare
INBS,Healthcare
INBX,Healthcare
INCY,Healthcare
INDI,Technology
INFA,Technology
INFN,Technology
INFY,Technology
ING,Financial Services
INGN,Healthcare
INMD,Healthcare
INN,Real Estate
INO,Healthcare
INOD,Technology
INSM,Healthcare
INSW,Energy
INTA,Technology
INTC,Technology
INTR,Financial Services
INTU,Technology
INVA,Healthcare
INVH,Real Estate
INVZ,Consumer Cyclical
IONQ,Technology
IONS,Healthcare
IOT,Technology
IOVA,Healthcare
IP,Consumer Cyclical
IPA,Healthcare
IPG,Communication Services
IQ,Communication Services
IQV,Healthcare
IR,Industrials
IRBT,Consumer Cyclical
IRDM,Communication Services
IREN,Financial Services
IRM,Real Estate
IRT,Real Estate
IRWD,Healthcare
ISRG,Healthcare
ITCI,Healthcare
ITRM,Healthcare
ITUB,Financial Services
ITW,Industrials
IVR,Real Estate
IVVD,Healthcare
IVZ,Financial Services
J,Industrials
JANX,Healthcare
JAZZ,Healthcare
JBGS,Real Estate
JBHT,Industrials
JBI,Industrials
JBL,Technology
JBLU,Industrials
JCI,Industrials
JD,Consumer Cyclical
JEF,Financial Services
JFR,Financial Services
JHG,Financial Services
JKS,Technology
JMIA,Consumer Cyclical
JNJ,Healthcare
JNPR,Technology
JOBY,Industrials
JPC,Financial Services
JPM,Financial Services
JQC,Financial Services
JRVR,Financial Services
JWN,Consumer Cyclical
JXJT,Consumer Cyclical
JXN,Financial Services
K,Consumer Defensive
KALV,Healthcare
KAR,Consumer Cyclical
KBH,Consumer Cyclical
KBR,Industrials
KC,Technology
KD,Technology
KDP,Consumer Defensive
KEY,Financial Services
KEYS,Technology
KGC,Basic Materials
KHC,Consumer Defensive
KIM,Real Estate
KIND,Communication Services
KKR,Financial Services
KLAC,Technology
KLG,Consumer Defensive
KLIC,Technology
KMB,Consumer Defensive
KMI,Energy
KMT,Industrials
KMX,Consumer Cyclical
KN,Technology
KNX,Industrials
KO,Consumer Defensive
KOD,Healthcare
KODK,Industrials
KOPN,Technology
KOS,Energy
KR,Consumer Defensive
KRC,Real Estate
KREF,Real Estate
KRG,Real Estate
KRNT,Industrials
KRTX,Healthcare
KSS,Consumer Cyclical
KT,Communication Services
KTOS,Industrials
KURA,Healthcare
KVUE,Consumer Defensive
KVYO,Technology
KW,Real Estate
KYMR,Healthcare
KYN,Financial Services
L,Financial Services
LAAC,Basic Materials
LAB,Healthcare
LAC,Basic Materials
LADR,Real Estate
LAES,Technology
LAUR,Consumer Defensive
LAZ,Financial Services
LAZR,Consumer Cyclical
LBPH,Healthcare
LBRDK,Communication Services
LBRT,Energy
LBTYA,Communication Services
LBTYK,Communication Services
LC,Financial Services
LCID,Consumer Cyclical
LCTX,Healthcare
LDOS,Technology
LEA,Consumer Cyclical
LEG,Consumer Cyclical
LEGN,Healthcare
LEN,Consumer Cyclical
LESL,Consumer Cyclical
LEVI,Consumer Cyclical
LFMD,Healthcare
LFST,Healthcare
LH,Healthcare
LHX,Industrials
LI,Consumer Cyclical
LIAN,Healthcare
LICN,Industrials
LIFE,Healthcare
LILAK,Communication Services
LIN,Basic Materials
LITE,Technology
LIVN,Healthcare
LKQ,Consumer Cyclical
LLY,Healthcare
LMND,Financial Services
LMT,Industrials
LNC,Financial Services
LNG,Energy
LNT,Utilities
LNTH,Healthcare
LNW,Consumer Cyclical
LOW,Consumer Cyclical
LPG,Energy
LPLA,Financial Services
LPSN,Technology
LPX,Industrials
LQDA,Healthcare
LQR,Consumer Defensive
LRCX,Technology
LRHC,Real Estate
LRMR,Healthcare
LRN,Consumer Defensive
LSCC,Technology
LSPD,Technology
LSXMA,Communication Services
LSXMK,Communication Services
LTH,Consumer Cyclical
LU,Financial Services
LULU,Consumer Cyclical
LUMN,Communication Services
LUNR,Industrials
LUV,Industrials
LVS,Consumer Cyclical
LVTX,Healthcare
LW,Consumer Defensive
LWLG,Basic Materials
LX,Financial Services
LXP,Real Estate
LXRX,Healthcare
LYB,Basic Materials
LYEL,Healthcare
LYFT,Technology
LYG,Financial Services
LYT,Technology
LYV,Communication Services
LZ,Industrials
M,Consumer Cyclical
MA,Financial Services
MAA,Real Estate
MAC,Real Estate
MAG,Basic Materials
MANU,Communication Services
MAR,Consumer Cyclical
MARA,Financial Services
MAS,Industrials
MASI,Healthcare
MAT,Consumer Cyclical
MATV,Basic Materials
MAXN,Technology
MBC,Consumer Cyclical
MBI,Financial Services
MBLY,Consumer Cyclical
MC,Financial Services
MCD,Consumer Cyclical
MCHP,Technology
MCK,Healthcare
MCO,Financial Services
MCRB,Healthcare
MCW,Consumer Cyclical
MD,Healthcare
MDAI,Healthcare
MDB,Technology
MDC,Consumer Cyclical
MDGL,Healthcare
MDLZ,Consumer Defensive
MDT,Healthcare
MDU,Industrials
MDXG,Healthcare
MEDS,Healthcare
MET,Financial Services
META,Communication Services
METC,Basic Materials
MFA,Real Estate
MFC,Financial Services
MFG,Financial Services
MGA,Consumer Cyclical
MGIH,Consumer Cyclical
MGM,Consumer Cyclical
MGNI,Communication Services
MGNX,Healthcare
MGY,Energy
MHK,Consumer Cyclical
MIGI,Financial Services
MINM,Technology
MIR,Industrials
MIRA,Healthcare
MKC,Consumer Defensive
MKSI,Technology
MLCO,Consumer Cyclical
MLI,Industrials
MLKN,Consumer Cyclical
MMC,Financial Services
MMM,Industrials
MMYT,Consumer Cyclical
MNDY,Technology
MNKD,Healthcare
MNMD,Healthcare
MNSO,Consumer Cyclical
MNST,Consumer Defensive
MNY,Communication Services
MO,Consumer Defensive
MOD,Consumer Cyclical
MODG,Consumer Cyclical
MOMO,Communication Services
MOR,Healthcare
MORF,Healthcare
MOS,Basic Materials
MP,Basic Materials
MPC,Energy
MPLN,Healthcare
MPLX,Energy
MPU,Industrials
MPW,Real Estate
MPWR,Technology
MQ,Technology
MRAI,Healthcare
MRC,Energy
MRCY,Industrials
MREO,Healthcare
MRK,Healthcare
MRNA,Healthcare
MRO,Energy
MRSN,Healthcare
MRUS,Healthcare
MRVI,Healthcare
MRVL,Technology
MS,Financial Services
MSFT,Technology
MSGE,Consumer Cyclical
MSI,Technology
MSTR,Technology
MT,Basic Materials
MTB,Financial Services
MTC,Technology
MTCH,Communication Services
MTDR,Energy
MTG,Financial Services
MTSI,Technology
MTTR,Technology
MTZ,Industrials
MU,Technology
MUFG,Financial Services
MULN,Consumer Cyclical
MUR,Energy
MUX,Basic Materials
MVIS,Technology
MWA,Industrials
MXCT,Healthcare
MXL,Technology
MYGN,Healthcare
NAAS,Consumer Cyclical
NAD,Financial Services
NAPA,Consumer Defensive
NARI,Healthcare
NAT,Industrials
NAVI,Financial Services
NBIX,Healthcare
NCLH,Consumer Cyclical
NCNO,Technology
NDAQ,Financial Services
NE,Energy
NEA,Financial Services
NEE,Utilities
NEM,Basic Materials
NEO,Healthcare
NEOG,Healthcare
NEP,Utilities
